"Plot Title: B-009"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20312758, SEN S/N: 20312758)","Coupler Detached (LGR S/N: 20312758)","Coupler Attached (LGR S/N: 20312758)","Host Connected (LGR S/N: 20312758)","Stopped (LGR S/N: 20312758)","End Of File (LGR S/N: 20312758)"
1,02/28/23 10:30:00 AM,0.522,Logged,,,,
2,02/28/23 10:35:00 AM,0.163,,,,,
3,02/28/23 10:40:00 AM,0.051,,,,,
4,02/28/23 10:45:00 AM,0.024,,,,,
5,02/28/23 10:50:00 AM,0.024,,,,,
6,02/28/23 10:55:00 AM,0.024,,,,,
7,02/28/23 11:00:00 AM,0.024,,,,,
8,02/28/23 11:05:00 AM,0.024,,,,,
9,02/28/23 11:10:00 AM,0.024,,,,,
10,02/28/23 11:15:00 AM,0.024,,,,,
11,02/28/23 11:20:00 AM,0.024,,,,,
12,02/28/23 11:25:00 AM,0.024,,,,,
13,02/28/23 11:30:00 AM,0.024,,,,,
14,02/28/23 11:35:00 AM,0.024,,,,,
15,02/28/23 11:40:00 AM,0.024,,,,,
16,02/28/23 11:45:00 AM,0.024,,,,,
17,02/28/23 11:50:00 AM,0.024,,,,,
18,02/28/23 11:55:00 AM,0.024,,,,,
19,02/28/23 12:00:00 PM,0.024,,,,,
20,02/28/23 12:05:00 PM,0.024,,,,,
21,02/28/23 12:10:00 PM,0.024,,,,,
22,02/28/23 12:15:00 PM,0.024,,,,,
23,02/28/23 12:20:00 PM,0.024,,,,,
24,02/28/23 12:25:00 PM,0.024,,,,,
25,02/28/23 12:30:00 PM,0.024,,,,,
26,02/28/23 12:35:00 PM,0.024,,,,,
27,02/28/23 12:40:00 PM,0.024,,,,,
28,02/28/23 12:45:00 PM,0.024,,,,,
29,02/28/23 12:50:00 PM,0.024,,,,,
30,02/28/23 12:55:00 PM,0.024,,,,,
31,02/28/23 01:00:00 PM,0.024,,,,,
32,02/28/23 01:05:00 PM,0.024,,,,,
33,02/28/23 01:10:00 PM,0.024,,,,,
34,02/28/23 01:15:00 PM,0.024,,,,,
35,02/28/23 01:20:00 PM,0.024,,,,,
36,02/28/23 01:25:00 PM,0.024,,,,,
37,02/28/23 01:30:00 PM,0.024,,,,,
38,02/28/23 01:35:00 PM,0.024,,,,,
39,02/28/23 01:40:00 PM,0.024,,,,,
40,02/28/23 01:45:00 PM,0.024,,,,,
41,02/28/23 01:50:00 PM,0.024,,,,,
42,02/28/23 01:55:00 PM,0.024,,,,,
43,02/28/23 02:00:00 PM,0.024,,,,,
44,02/28/23 02:05:00 PM,0.024,,,,,
45,02/28/23 02:10:00 PM,0.024,,,,,
46,02/28/23 02:15:00 PM,0.024,,,,,
47,02/28/23 02:20:00 PM,0.024,,,,,
48,02/28/23 02:25:00 PM,0.024,,,,,
49,02/28/23 02:30:00 PM,0.024,,,,,
50,02/28/23 02:35:00 PM,0.024,,,,,
51,02/28/23 02:40:00 PM,0.024,,,,,
52,02/28/23 02:45:00 PM,0.024,,,,,
53,02/28/23 02:50:00 PM,0.024,,,,,
54,02/28/23 02:55:00 PM,0.024,,,,,
55,02/28/23 03:00:00 PM,0.024,,,,,
56,02/28/23 03:05:00 PM,0.024,,,,,
57,02/28/23 03:10:00 PM,0.024,,,,,
58,02/28/23 03:15:00 PM,0.024,,,,,
59,02/28/23 03:20:00 PM,0.024,,,,,
60,02/28/23 03:25:00 PM,0.024,,,,,
61,02/28/23 03:30:00 PM,0.024,,,,,
62,02/28/23 03:35:00 PM,0.024,,,,,
63,02/28/23 03:40:00 PM,0.024,,,,,
64,02/28/23 03:45:00 PM,0.024,,,,,
65,02/28/23 03:50:00 PM,0.024,,,,,
66,02/28/23 03:55:00 PM,0.024,,,,,
67,02/28/23 04:00:00 PM,0.024,,,,,
68,02/28/23 04:05:00 PM,0.024,,,,,
69,02/28/23 04:10:00 PM,0.024,,,,,
70,02/28/23 04:15:00 PM,0.024,,,,,
71,02/28/23 04:20:00 PM,0.024,,,,,
72,02/28/23 04:25:00 PM,0.024,,,,,
73,02/28/23 04:30:00 PM,0.024,,,,,
74,02/28/23 04:35:00 PM,0.024,,,,,
75,02/28/23 04:40:00 PM,0.024,,,,,
76,02/28/23 04:45:00 PM,0.024,,,,,
77,02/28/23 04:50:00 PM,0.024,,,,,
78,02/28/23 04:55:00 PM,0.024,,,,,
79,02/28/23 05:00:00 PM,0.024,,,,,
80,02/28/23 05:05:00 PM,2.316,,,,,
81,02/28/23 05:10:00 PM,6.940,,,,,
82,02/28/23 05:15:00 PM,9.312,,,,,
83,02/28/23 05:20:00 PM,11.151,,,,,
84,02/28/23 05:25:00 PM,12.847,,,,,
85,02/28/23 05:30:00 PM,13.954,,,,,
86,02/28/23 05:35:00 PM,14.816,,,,,
87,02/28/23 05:35:35 PM,,,Logged,,,
88,02/28/23 05:35:49 PM,,Logged,,,,
89,02/28/23 05:35:52 PM,,,Logged,,,
90,02/28/23 05:35:56 PM,,,,Logged,,
91,02/28/23 05:36:02 PM,,,,,Logged,Logged
